e-SUS - Atenção Básica
MINISTÉRIO DA SAÚDE
ESTADO DE DISTRITO FEDERAL
MUNICÍPIO DE BRASÍLIA
UNIDADE DE SAÚDE UBS 4 SETOR DE MANSOES SOBRADINHO II

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/02/2020 a 29/02/2020
Equipe;0000471631 - ESF 0615/05 - MINI-CHACARAS
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/07/2020; às ;00:00;
Impresso em ;13/07/2020; às ;07:23; por ;KATIA SORAIA DO ESPIRITO SANTO


Resumo de produção
Descrição;Quantidade;
Registros identificados;128;
Registros não identificados;1;

Dados gerais
Descrição;Quantidade;
Gestante;5;
Paciente com necessidades especiais;1;

Turno
Descrição;Quantidade;
Manhã;71;
Tarde;58;
Noite;0;
Não informado;0;

Faixa etária
Descrição;Masculino;Feminino;Não informado;
Menos de 01 ano;1;3;0;
01 ano;1;2;0;
02 anos;0;0;0;
03 anos;1;1;0;
04 anos;0;1;0;
05 a 09 anos;5;12;0;
10 a 14 anos;4;6;0;
15 a 19 anos;4;10;0;
20 a 24 anos;0;7;0;
25 a 29 anos;7;5;0;
30 a 34 anos;1;5;0;
35 a 39 anos;1;7;0;
40 a 44 anos;2;5;0;
45 a 49 anos;7;5;0;
50 a 54 anos;3;8;0;
55 a 59 anos;1;6;0;
60 a 64 anos;3;3;0;
65 a 69 anos;0;2;0;
70 a 74 anos;0;0;0;
75 a 79 anos;0;0;0;
80 anos ou mais;0;0;0;
Não informado;0;0;0;

Sexo
Descrição;Quantidade;
Masculino;41;
Feminino;88;
Não informado;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;129;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Consulta agendada;69;
Escuta inicial / Orientação;0;
Consulta no dia;29;
Atendimento de urgência;31;
Não informado;0;

